Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.5372542,-9.3732618,389,12.25,9.09,449,8.01,19.9,13.3,3.28,0.083,3.94,0.42,14.8,0.223,0.55,0.389,C1
53.6256873,-9.4104726,114.5,24.2,12.3,920,6.03,41.6,24.5,4.09,0.1,4.44,0.51,9.49,0.231,0.63,1.28,C1
53.5386717,-9.4005798,58.1,16.5,9.94,608,7.59,20.1,24.8,2.64,0.1335,3.06,0.56,16.55,0.164,0.75,0.49,C1
53.6066523,-9.4168939,171,23.6,4.97,401,13.65,37.5,33.9,1.59,0.0884,6.31,0.24,12.8,0.289,0.53,1.25,C1
53.551988,-9.578134,131.5,11.75,5.31,2260,6.15,26.8,33.7,6.48,0.208,8.89,0.96,42.9,0.507,1.1,0.52,C1
53.6511014,-9.3580987,66,18.9,21.1,308,7.37,50.2,20.5,7.54,0.1095,2.93,0.58,29.1,0.601,0.68,0.845,C1
53.5871334,-9.4597179,170.5,10.95,7.04,571,7.23,25.7,36.5,3.22,0.0976,3.25,0.48,17.65,0.321,0.6,0.781,C1
53.5348469,-9.5160333,154,16.2,4.81,1235,9.88,27.4,36.9,5.79,0.182,12.1,0.77,31.6,0.277,0.86,0.499,C1
53.6650362,-9.3566253,64.2,18.4,19.15,219,5.98,34.9,24.6,6.22,0.0941,2.17,0.53,9.72,0.446,0.65,0.972,C1
53.5538453,-9.4038874,196,20.6,14.35,765,11.35,19,13.1,8.16,0.0813,4.81,0.41,20.7,0.21,0.64,0.318,C1
53.6454553,-9.3780449,258,11.55,17,198,8,17.4,8.4,4.9,0.0726,1.385,0.36,10.3,0.246,0.49,0.63,C1
53.5328719,-9.5858693,231,8.48,11,941,9.41,22.1,39.8,7.07,0.163,7.48,1.03,31.8,0.383,0.73,0.388,C1
53.5552831,-9.528519,127.5,9.57,7.82,398,8.06,20,26.9,6.42,0.172,3.34,0.69,27.2,0.444,0.8,0.513,C1
53.5173472,-9.5562665,79.6,15.4,5.54,1315,6.38,42.3,29.4,4.74,0.222,9.14,1.23,32.8,0.163,1.09,0.947,C1
53.5517221,-9.6148814,114.5,7.9,6.5,398,5.03,31.8,23.2,5.84,0.139,3.7,1,21.7,0.353,0.63,0.399,C1
53.526018,-9.3705158,407,12.05,9.69,301,9.86,28,34.4,3.93,0.0694,5.41,0.66,13.8,0.101,0.58,0.758,C1
53.5481693,-9.5471676,113,10.3,7.42,928,7.66,28.3,27.4,7.77,0.1945,5.63,0.99,33.1,0.303,0.93,0.557,C1
53.1111651,-9.1466938,49.2,22.9,23.6,776,26.8,32.8,75.6,20,0.1935,5.74,0.93,32.4,0.638,1.92,1.295,C1
53.111245,-9.1213239,47.5,30.6,22.1,972,29.5,40.4,113,13,0.18,6.73,1.6,26.5,0.578,0.93,1.23,C1
53.1646375,-9.0835705,25.1,13.65,8.74,634,13.4,24,39.6,22.3,0.125,4,0.67,13.4,0.33,0.95,1.17,C1
53.1037761,-9.207849,61.9,39,17,805,42.3,61.6,89.8,17.6,0.265,10.65,3.2,33.6,0.769,1.14,1.42,C1
53.129058,-9.0052135,44.2,27,13.65,1380,33.8,50.9,197,14.5,0.399,7.05,1.82,68,1.115,1.1,0.858,C1
53.1067009,-9.2987932,33.9,39.5,10.7,860,29,54.2,75.9,25.8,0.264,7.1,3.21,40.3,0.867,0.87,1.5,C1
53.1752693,-8.9718804,40.1,18.85,44.7,1030,22.4,29.8,75,28.7,0.355,7.09,1.39,23.9,0.66,0.8,0.923,C1
53.4092867,-9.1395972,106.5,41.6,12.45,373,26.4,49.1,52.3,4.72,0.199,8.71,0.48,31.7,0.128,0.84,1.375,C1
53.4077741,-9.2226079,69.5,33.1,10,575,25.5,39.5,65.2,7.54,0.1285,7.26,0.93,26.6,0.282,0.74,1.48,C1
53.3766326,-9.1359304,97.5,39.2,19.1,441,23,43.3,65.5,6.78,0.161,8.4,0.64,31.5,0.294,0.8,2.3,C1
53.1651053,-6.93814,63,21.7,26.1,910,29.4,28.6,102,7.28,0.1055,9.46,1.21,25.3,0.423,0.75,0.938,C1
53.1225405,-9.179889,42.1,48.4,14.95,735,41.4,70.8,122,22.1,0.28,8.59,4.23,62.3,0.881,1.29,0.971,C1
53.1409206,-9.0599901,37.9,23.1,10.2,646,21.8,27.9,45.5,9.05,0.1625,4.87,0.85,18.85,0.375,0.7,1.09,C1
53.1082659,-9.2745447,35.6,41,12.25,481,30.3,63.5,71,14,0.271,8.47,2.99,66.1,0.573,0.97,1.53,C1
53.1080095,-9.2409685,50.3,52.9,15.55,1265,29.9,97.1,122.5,21.1,0.305,7.92,5.67,96.5,0.929,1.51,1.805,C1
