Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.7736684,-8.1104456,133.5,24.4,28.3,902,34,39.4,84.5,11.85,0.1345,10.4,1.69,48.9,0.559,6.05,1.89,C7
53.4368045,-7.8959865,56,11.75,89.2,572,23.7,20.1,197,13.25,0.1035,6.89,1.07,134.5,1.86,10.7,2.04,C7
53.7839495,-7.9480415,131.5,17.25,63.3,393,15.45,37.9,92.1,9.81,0.0948,5.83,0.76,47.8,0.789,8.51,1.82,C7
53.4201924,-7.9547011,123.5,13.05,63.2,512,24.4,22.8,156.5,12.05,0.1485,5.6,1.36,168.5,1.6,19,3.72,C7
53.4176178,-7.9268049,67,9.53,45.9,359,26.4,20,105,12.9,0.124,6.3,1.17,159.5,0.921,8.87,4.13,C7
53.7218483,-7.830493,151.5,9.54,56.7,411,16.9,14.1,338,21.1,0.104,5.43,1.35,159.5,1.81,12,3.25,C7
53.4259326,-7.9854574,37.5,10.35,14.35,59.7,12.4,13.2,27,5.43,0.0767,3.21,0.38,69.9,1.295,7.65,0.929,C7
53.4472482,-7.1130793,198.5,18,72.3,278,34.6,28.5,58.7,6.89,0.1065,4.03,0.89,19.7,1.12,0.51,15.4,C8
53.4536994,-7.0740023,80.8,17.15,57.9,405,62.8,40.7,148.5,25,0.1035,14.7,2.29,20.2,1.255,0.6,13.65,C8
53.7565778,-6.9555191,99.8,33,38.7,476,21,39,93.5,7.16,0.217,7.6,0.59,20.6,0.981,7.16,1.235,C7
53.3576839,-6.7829506,212,11.9,11.7,1355,26,15.8,66.5,44.8,0.094,5.93,5.82,34.4,0.663,2.31,1.115,C8
53.3786926,-6.7803677,128.5,23.4,23.1,1010,42.3,51.4,152,50,0.0909,11.95,8.02,22.2,0.943,0.61,1.11,C8
53.2325888,-6.9382972,151.5,10.45,17.45,413,38.6,15.3,211,16.6,0.0643,13.15,4.12,17.7,0.895,0.43,20.2,C8
53.7544256,-6.9916548,182.5,35.5,17.85,1100,23.8,65.5,132,5.85,0.249,10.1,0.72,32.8,1.08,11.6,0.834,C7
53.2663739,-6.9689336,124.5,19.35,16.35,631,35,24.4,105,69.7,0.101,9.75,2.43,21.4,0.469,0.48,0.869,C8
53.2142707,-6.8524372,383,18.25,19.05,609,40.2,29.1,67.1,60.6,0.0956,11.3,5.03,23.4,1.21,0.54,12,C8
53.2568217,-6.8821507,175,13.35,16.15,450,17.75,11.6,530,27.6,0.0837,2.38,5.55,32.9,1.005,2.4,14.65,C8
