Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.3729347,-9.609252,27.4,13.75,37.5,2380,3.08,35,26.1,18.55,0.1245,11.3,2.54,20.7,0.233,1.18,4.66,1
53.4598353,-9.6417763,102,2.8,3.22,820,2.32,6.4,8.8,4.42,0.108,1.88,0.99,20.1,0.29,0.54,0.269,1
53.6180007,-9.594771,2120,7.25,3.59,13700,2.72,12.1,9.5,3.71,0.1935,17.65,0.87,32.9,0.353,1,0.979,-1
53.388283,-9.6369924,28.4,4.53,86.9,40.8,3.33,8.4,19.8,7.36,0.0926,0.641,0.8,26.5,0.288,0.84,1.45,-1
53.5714649,-9.4887058,37.8,58,13.25,1105,9.29,149.5,41.1,11.45,0.1575,10.35,1.13,22.9,0.83,0.87,0.391,-1
53.5727841,-9.4140253,41.5,1.02,4.5,57.8,1.48,2.8,14.9,3.4,0.1075,0.746,0.38,38.3,0.352,0.45,0.131,1
53.5864556,-9.561115,1260,25.2,4.25,15300,12.6,46.3,30.8,4.82,0.0853,17.65,0.68,15.85,0.204,0.44,3.14,-1
53.5857551,-9.4151227,140.5,11.2,38.2,1400,7.89,37.6,63.3,8.71,0.1005,9.29,1.02,28.9,0.44,0.66,0.699,1
53.4614798,-9.6120717,37.1,1.23,5.41,847,1.84,3.3,28.4,4.56,0.1815,0.526,0.81,28.8,0.622,0.97,0.116,1
53.6593581,-9.6493997,15.8,148.5,15.05,71.3,85.7,44,26.1,7.62,0.221,6.13,1.23,52.3,0.461,0.73,0.752,-1
53.6658801,-9.4998535,162,28.5,7.6,1385,23.4,38,33.1,7.9,0.284,13.75,1.01,59.7,0.352,1.13,7.97,-1
53.6421643,-9.440841,399,2.61,5.21,33.9,2.15,6.4,6.4,2.31,0.144,1.1,0.69,27.1,0.228,0.67,0.341,-1
53.431161,-9.4597395,44.1,2.68,5.47,187,1.97,6.1,9.1,8.81,0.1845,1.725,0.94,26.9,0.37,0.7,0.242,1
53.4251411,-9.3980941,282,1.74,3.34,24.1,1.43,3.1,8.1,2.38,0.0896,1.16,0.48,19.95,0.176,1.84,0.163,-1
53.4047129,-9.6103007,27,5.23,2.3,4780,1.64,21.6,7,1.56,0.1155,3.42,1.15,22.2,0.133,0.58,6.04,-1
53.4038719,-9.5763461,123,6.41,7.1,13750,2.48,17.2,31.9,4.3,0.1665,22.1,2.18,59.9,0.287,0.52,46.6,-1
53.1451064,-9.1219664,4.2,3.69,1.94,103,1.71,4,9.7,1.75,0.0377,0.395,0.22,4.39,0.067,0.13,0.809,1
53.2857212,-9.5148624,11.3,6.04,3.94,37.8,1.7,18.6,6.3,1.77,0.782,0.69,4.36,35,0.178,0.75,1.83,-1
53.5286668,-9.6515708,20.3,20.2,11.6,508,6.26,28.8,49.8,7.67,0.303,4.85,1.4,82.3,0.378,1.26,0.954,1
53.5189709,-9.4275662,110,43.6,49.3,1395,14.6,61.4,71.3,16.5,0.1995,8.6,2.64,69.3,0.266,1.06,1.86,-1
53.518147,-9.4652156,25,21.3,13.1,70.1,5.33,39.2,8.7,17.35,0.1135,1.53,1.06,22,0.205,0.6,0.69,1
53.4984791,-9.3975369,37.5,6.67,12.35,56.9,6.02,10.9,20.4,1.88,0.0964,2.38,0.33,13.75,0.115,0.39,0.196,1
53.2266206,-9.5084481,10,2.37,5.79,11.4,1.06,7.8,8.6,1.65,0.1145,0.352,3.18,10.3,0.137,0.4,1.225,1
53.4784225,-9.4585295,112.5,41,19.3,944,21.6,60.6,78.8,3.31,0.178,13.15,11.65,49.1,0.137,1.44,7.74,-1
53.1562002,-9.1079494,23.5,23.3,37.9,473,14.55,32.9,83,10.65,0.1575,4.35,1.08,24.9,0.417,0.79,0.79,1
53.1312444,-9.0906787,25.5,19.95,5.51,446,16.9,22.3,32.1,6.78,0.1335,3.94,0.96,13.75,0.276,0.46,0.714,1
53.2585957,-9.6258464,25.1,6.21,16.95,1080,2.17,28.1,19.2,19.9,0.353,6.36,1.95,16.45,0.12,0.61,3.52,1
53.1059109,-9.0283553,40.2,57.4,19.9,1285,55.9,216,121,19.55,0.327,11.35,2.67,96.1,1.385,1.33,2.98,-1
53.1194153,-9.1456438,56.8,39.4,17.45,1340,48.6,50.6,115,35.8,0.211,13.8,1.29,48.8,1.57,1.17,1.105,-1
53.4775656,-9.3824349,22.8,5.43,20.5,48.7,3.99,12.7,9.5,4.76,0.174,1.845,0.84,36.8,0.256,0.48,0.554,1
53.382221,-9.1584412,54.8,30.1,75.1,171,14.1,38.3,40.7,4.4,0.147,5.41,0.47,22.7,0.108,0.63,1.645,1
53.4494764,-9.3342432,196,2.29,4.61,322,1.49,4.2,12.3,2.61,0.0835,1.59,0.53,26.2,0.186,0.35,3.18,1
53.2303334,-9.6468499,14.6,20.5,8.46,108.5,6.62,22.3,19.4,8.61,0.125,2.27,0.97,14.1,0.147,0.47,1.615,1
53.2532031,-9.2147356,34.6,22.2,64.4,410,6.63,47.2,29.2,29,0.267,4.38,3.65,31.7,0.543,1.24,5.51,1
53.1259279,-9.2899762,23.1,12.7,1.82,271,11.85,17.4,23.2,9.31,0.0153,4.33,0.31,4.08,0.057,0.18,0.855,1
53.148604,-9.0038912,30.2,18.9,5.3,137,13.3,31.8,32.7,19.7,0.411,3.67,5.53,144,3.17,0.61,2.66,-1
53.2672765,-9.5391514,14.5,2.87,5.89,158,1.52,7.5,5.8,4.32,1.185,4.02,31.5,45.3,0.15,0.72,33,-1
53.4310944,-9.3721096,384,8.58,4.75,6860,2.61,17.4,15.1,3.22,0.219,7.06,0.85,48.2,0.184,0.73,13,-1
53.431689,-9.3086946,35.7,5.26,4.44,32.9,3.46,6.6,13.7,2.24,0.206,0.82,0.52,296,5.43,0.95,0.573,-1
53.23225,-9.6138102,22.9,4.65,2.37,71.5,2.66,7.2,10,3.38,0.074,0.74,0.34,5.42,0.045,0.25,0.838,1
53.2648131,-9.2138206,78.8,12,15.55,641,5.35,35.6,33.4,11.15,0.402,4.9,1.25,22.6,0.246,0.64,2.81,1
53.4417841,-9.3221732,35.9,0.82,2.4,24.4,0.96,1.9,17.5,0.84,0.0461,0.234,0.45,12.4,0.196,0.41,0.293,1
53.3176023,-9.4776805,234,6.49,18.35,178,2.89,16.2,12.6,2.32,0.425,1.225,2.42,48.3,0.221,1.28,2.82,-1
53.24377,-9.4837794,16.5,4.87,13.8,336,2.37,10.9,10.6,2.28,0.776,1.51,29.8,34,0.197,0.9,8.93,-1
53.2325325,-9.4856222,29.9,8.33,41.7,331,3.41,24.4,29.9,6.83,15.55,6.21,62.8,54.9,0.18,1.16,33.9,-1
53.4100245,-9.3347076,87.1,11.65,6.6,3050,3.34,19.7,17.3,4.57,0.161,20,1.37,51.5,0.473,0.92,1.175,-1
53.3716125,-9.2447102,48.5,17.85,16.3,304,8.43,48.3,47,2.88,0.0933,4.74,1.05,18.3,0.162,0.63,1.31,1
53.2688306,-9.1833278,17.3,1.62,3.27,11.4,1.47,3.5,9.9,1.56,0.0925,0.376,0.62,43,0.454,0.53,0.437,1
53.2354759,-9.396744,144,7.14,36.3,280,2.36,22.4,26.8,20.1,0.1585,3.18,1.5,114.5,0.161,0.83,5.03,-1
53.1852291,-8.8824565,31.9,34.4,42.2,982,23.6,38.3,55.3,9.3,0.139,4.57,1.26,26.9,0.758,0.75,0.522,1
53.3232051,-9.2072978,8.6,0.97,3.58,20.1,1.36,2.4,29.3,2.23,0.1045,0.274,0.35,22.7,3.37,0.74,0.104,1
53.3974053,-9.2732902,12,2.02,2.84,11.8,1.25,4.4,16.6,0.78,0.0404,0.338,0.28,9.99,0.147,0.29,0.147,1
53.3548512,-9.1491384,103,74.8,50.3,1125,18.05,87.6,34.3,6.56,0.225,5.67,0.73,34.7,0.232,0.76,26.3,-1
53.290767,-9.3111624,108,0.81,3.32,11.1,0.96,2.1,10.1,3.05,0.132,0.269,0.79,25.4,0.302,0.6,0.141,1
53.3015655,-9.1257177,55.8,15.55,36.7,2500,8.13,24.8,73,9.96,0.652,5.51,1.56,91.6,0.326,0.91,3.84,-1
53.266874,-9.3037616,17.1,6.47,9.18,766,4.61,16,48.9,3.31,0.0864,3.82,1.3,11.7,0.281,0.78,2.91,1
53.271363,-9.1550677,65.7,4.49,4.58,22.6,1.49,8.8,9.4,1.48,0.0872,0.5,0.77,72.6,0.267,0.47,1.34,1
53.2885399,-8.8878522,82.4,41.6,40.1,1030,51.8,66.1,104.5,15.2,0.353,9.43,1.59,381,0.689,7.79,1.725,-1
53.2186052,-8.9775767,51.5,27.1,25.5,1565,69.2,53.7,79.4,19.35,0.278,18,2.44,29.6,0.873,0.74,2.1,-1
53.3224527,-9.0064804,7.9,1.11,2.64,15,1.22,1.6,25,0.72,0.0802,0.161,0.28,104,1.945,0.45,1.275,-1
53.2545157,-8.8897848,60.3,47.6,14.7,1210,68,102,63.3,15.45,0.323,8.89,5.47,31.4,0.911,0.99,1.92,-1
53.3472994,-9.010504,5.1,1.4,3.34,14.1,1.83,3,11,1.18,0.0284,0.241,0.21,7.48,0.207,0.19,0.764,1
53.6673042,-8.8637035,39.9,21.4,10.9,552,19.8,31.9,51.5,9.09,0.096,5.75,3.37,18.65,0.299,0.57,1.185,1
53.1983653,-8.9088525,61.5,26,20.7,138,30.9,25.3,38.9,4.56,0.1705,5.44,0.37,22.1,0.29,0.6,2.97,1
53.1266099,-9.1194979,52.7,29.7,19.3,1370,30.2,46.8,156,23.7,0.295,4.86,2.21,69.5,1.3,2.96,1.35,-1
53.2334197,-8.9168129,26.9,34.4,33.5,126,28.7,31.7,62.1,3.06,0.0826,2.71,0.59,44.1,0.565,0.79,8.56,1
53.2203531,-8.9480633,30,10.65,13.5,160,21,14.8,23.2,3.85,0.0845,3.04,0.52,26.5,0.248,0.48,2.26,1
53.1102768,-8.9438489,120.5,44.6,30.8,3300,48.9,61.9,106,16.6,0.345,14.9,1.53,35.4,0.817,1.02,1.5,-1
53.2476303,-9.313244,44.6,13.05,24.4,393,4.85,31.1,36.9,6.91,0.904,2.91,1.86,23.2,0.329,1.09,2.4,-1
53.1103369,-8.8269853,198,41.8,14.9,1490,38.8,55.8,58.1,9.86,0.1655,10.05,0.73,40.4,0.221,1,1.24,-1
53.9795361,-8.2558274,73,17.9,24.4,390,24.6,47.3,44.8,10.9,0.1015,3.46,1.6,55.1,0.936,1.26,12.5,1
53.5696915,-9.3124381,435,45.5,10.7,94.3,22.4,57.3,23.7,3.52,0.1115,5.74,0.19,23.1,0.224,0.73,13.85,-1
53.6337891,-9.2254433,70.5,15.65,12.7,485,15.55,27.1,60,4.95,0.0793,4.29,0.5,64.1,0.268,3.16,1.17,1
53.5767656,-9.1682814,49.5,23.8,10.35,376,32,27.6,83.1,13.45,0.111,7.31,1.51,19.25,0.449,0.63,0.998,1
53.6694302,-9.1855646,50,23.6,8.11,254,26.5,63.3,48.8,11.4,0.103,5.63,1.48,36.5,0.366,0.65,2.17,1
53.5365743,-9.3453359,508,26.7,24.1,1615,36.2,36.3,92.3,19.05,0.14,40.2,0.82,38.9,0.386,1.03,1.08,-1
53.3828738,-8.883411,80.3,33.3,10.2,1140,27,49,180,41.5,0.0944,8.72,1.25,17.55,0.27,0.52,1.48,-1
